channel,r_decay,r_roi,r_mroi,py_roi,py_mroi,r_verdict,py_verdict,agree,checked_at
Paid Search,0.1,3.4708859442361026,1.0949053955333197,4.098559253059885,0.8172693900465763,Trim,Trim,TRUE,2026-09-25T02:02:17Z
Connected TV,0.7000000000000001,5.27163315102904,5.0784556745877385,3.7252010256080426,3.6863379564132144,Grow,Grow,TRUE,2026-09-25T02:02:17Z
Paid Social,0.4,0.8100821089766836,0.7104689153456379,1.7084280346354908,0.9935795530687876,Trim,Trim,TRUE,2026-09-25T02:02:17Z
Display,0.7000000000000001,3.6264497252820322,3.4233908808437468,2.466583015091403,2.0530121860380377,Hold,Hold,TRUE,2026-09-25T02:02:17Z
Affiliate,0,3.5218959817392346,1.970267283048955,3.556092102222717,2.0702839944221214,Hold,Grow,FALSE,2026-09-25T02:02:17Z
Email / CRM,0.3,11.476199294761496,9.178660410915635,4.0189567724788775,3.2369802372383014,Grow,Grow,TRUE,2026-09-25T02:02:17Z
Direct Mail,0,1.3776185739061335,0.9261683827121021,1.2848330922171691,1.1876356734789513,Trim,Trim,TRUE,2026-09-25T02:02:17Z
Podcast,0.8,3.81908719682164,3.630822934250503,1.737545261863296,1.6186143562655189,Grow,Hold,FALSE,2026-09-25T02:02:17Z
